supplier_id,supplier_key,supplier_name,country,city,specialty,tier,avg_quality_score
1,SUP-CN-001,Shenzhen Tech Components,China,Shenzhen,Components,Tier 1,95.2
2,SUP-TW-002,MediaTek Taiwan,Taiwan,Taipei,Chipset,Tier 1,97.1
3,SUP-KR-003,Korea Display Systems,South Korea,Seoul,Display,Tier 1,96.4
4,SUP-IN-004,Battery Hub India,India,Delhi,Battery,Tier 2,92.5
5,SUP-CN-005,ChipCore Electronics,China,Guangzhou,Processor,Tier 1,94.3
6,SUP-JP-006,Nippon Circuits,Japan,Tokyo,Circuits,Tier 1,96.8
7,SUP-US-007,US Mobile Parts,USA,Austin,Accessories,Tier 2,91.4
8,SUP-VN-008,Vietnam Assembly Parts,Vietnam,Hanoi,Assembly Parts,Tier 2,90.7
9,SUP-MY-009,Malaysia Semiconductor,Malaysia,Kuala Lumpur,Semiconductor,Tier 1,95.5
10,SUP-DE-010,German Precision Tech,Germany,Berlin,Precision Components,Tier 1,97.6
11,SUP-CN-011,Dragon Electronics,China,Shenzhen,Mobile Components,Tier 2,89.9
12,SUP-TW-012,Taiwan Connectivity Ltd,Taiwan,Taichung,Connectivity Modules,Tier 2,93.8
13,SUP-KR-013,Seoul Audio Components,South Korea,Busan,Audio Components,Tier 2,92.7
14,SUP-IN-014,PowerCell India,India,Bangalore,Battery Cells,Tier 3,88.6
15,SUP-US-015,US Packaging Solutions,USA,Chicago,Packaging,Tier 3,90.2
